,Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,expend,sample
202,2022,2,1,1,13,1,2,4,2,1,749.382,2248.147,557540.365,1
203,2022,2,1,1,13,1,2,4,2,2,9694.795,58477.111,20621512.755,4
204,2022,2,1,1,13,1,2,5,1,2,3696.202,25873.412,4683087.578,1
205,2022,2,1,1,13,1,2,5,2,1,2545.775,7637.325,1090981.996,2
206,2022,2,1,1,13,1,2,5,2,2,2913.024,20391.171,3227123.213,3
207,2022,2,1,1,13,1,2,6,1,1,1460.305,4380.915,576820.494,1
208,2022,2,1,1,13,1,2,6,1,2,6941.176,51896.192,5555773.533,6
209,2022,2,1,1,13,1,2,6,1,3,749.382,10491.351,1375865.739,1
210,2022,2,1,1,13,1,2,6,2,2,8566.217,68500.907,8825597.184,8
211,2022,2,1,1,13,1,2,6,2,3,1844.963,25829.489,2389227.688,2
212,2022,2,1,1,13,1,2,7,1,2,7588.307,58545.496,9481450.244,6
213,2022,2,1,1,13,1,2,7,2,2,11047.974,97188.097,14683923.967,6
214,2022,2,1,1,13,2,1,3,1,2,577.394,2309.574,577393.534,1
215,2022,2,1,1,13,2,1,3,2,1,1374.154,2748.308,773648.615,1
216,2022,2,1,1,13,2,1,4,1,1,1813.882,5441.645,1362225.035,1
217,2022,2,1,1,13,2,1,4,1,2,1244.557,4978.227,0.0,1
218,2022,2,1,1,13,2,1,4,1,4,2365.725,75703.214,473145.086,1
219,2022,2,1,1,13,2,1,6,1,1,1068.892,2137.783,16033.375,1
220,2022,2,1,1,13,2,1,6,1,2,1813.882,18138.815,2720822.307,1
221,2022,2,1,1,13,2,2,3,1,2,2808.327,15445.797,3426158.566,2
222,2022,2,1,1,13,2,2,3,2,2,1419.435,9936.047,2130572.322,1
223,2022,2,1,1,13,2,2,5,1,1,953.297,2859.891,715926.138,1
224,2022,2,1,1,13,2,2,5,2,2,1404.163,9829.143,2107649.183,1
225,2022,2,1,1,13,4,1,2,1,2,437.418,3061.924,174967.062,1
226,2022,2,1,1,13,4,1,2,2,1,1813.882,5441.645,36277.631,1
227,2022,2,1,1,13,4,1,2,2,2,749.382,2997.529,374691.105,1
228,2022,2,1,1,13,4,1,3,1,2,4301.198,22777.193,706271.642,3
229,2022,2,1,1,13,4,1,3,1,3,437.418,7873.518,109354.414,1
230,2022,2,1,1,13,4,1,3,2,2,3052.961,16581.221,1292078.993,3
231,2022,2,1,1,13,4,1,3,2,3,577.394,10393.084,288696.767,1
232,2022,2,1,1,13,4,1,4,1,2,3696.202,14784.807,369620.172,1
233,2022,2,1,1,13,4,1,4,1,3,1419.435,24130.399,2838870.516,1
234,2022,2,1,1,13,4,1,4,2,1,866.581,2599.743,43329.054,1
235,2022,2,1,1,13,4,1,4,2,2,528.268,6867.479,34865.661,1
236,2022,2,1,1,13,4,1,4,2,3,647.814,9717.212,323907.055,1
237,2022,2,1,1,13,4,1,5,1,2,866.581,3466.324,64993.581,1
238,2022,2,1,1,13,4,1,5,2,2,2838.871,18452.658,1064576.444,2
239,2022,2,1,1,13,4,1,6,1,2,2365.725,18925.803,1182862.715,1
240,2022,2,1,1,13,4,1,9,0,2,1216.922,8518.452,1126869.517,1
241,2022,2,1,1,13,5,1,3,1,3,997.277,13961.873,6743584.629,1
242,2022,2,1,1,14,1,1,2,1,2,2273.243,12516.661,758537.798,3
243,2022,2,1,1,14,1,1,2,2,1,1460.305,4380.915,547614.393,1
244,2022,2,1,1,14,1,1,2,2,2,4629.584,20884.060,1539249.93,4
245,2022,2,1,1,14,1,1,3,1,1,7026.352,21079.055,2676091.89,5
246,2022,2,1,1,14,1,1,3,1,2,11034.000,47656.513,4802032.524,6
247,2022,2,1,1,14,1,1,3,2,1,1852.036,3704.072,277805.393,1
248,2022,2,1,1,14,1,1,3,2,2,2302.153,11737.789,1011562.314,3
249,2022,2,1,1,14,1,1,3,2,3,577.394,8083.509,866090.302,1
250,2022,2,1,1,14,1,1,4,1,1,1170.919,2341.838,370106.447,2
251,2022,2,1,1,14,1,1,4,1,2,2365.725,26022.980,2129152.887,1
252,2022,2,1,1,14,1,1,4,2,1,2943.119,6463.631,558350.334,2
253,2022,2,1,1,14,1,1,4,2,2,5210.381,36186.921,3024457.823,4
